iter	Passed	Remaining
268	4361	1617191
269	4376	1616423
270	4391	1616111
271	4407	1615878
272	4421	1615336
273	4436	1614742
274	4451	1614185
275	4465	1613602
276	4480	1612987
277	4494	1612406
278	4511	1612505
279	4526	1612153
280	4542	1611931
281	4558	1612030
282	4573	1611667
283	4589	1611283
284	4604	1610946
285	4620	1610855
286	4635	1610693
287	4651	1610441
288	4666	1610042
289	4681	1609591
290	4695	1609028
291	4710	1608399
292	4724	1607879
293	4739	1607450
294	4754	1606801
295	4769	1606580
296	4786	1606743
297	4802	1606823
298	4819	1606997
299	4835	1607052
300	4850	1606746
301	4865	1606299
302	4880	1605770
303	4894	1605204
304	4909	1604610
305	4923	1604086
306	4937	1603520
307	4952	1603061
308	4967	1602754
309	4983	1602523
310	4998	1602173
311	5013	1601806
312	5028	1601484
313	5043	1601111
314	5058	1600730
315	5074	1600827
316	5090	1600616
317	5105	1600319
318	5119	1599856
319	5134	1599433
320	5150	1599450
321	5167	1599566
322	5183	1599506
323	5198	1599312
324	5213	1598928
325	5228	1598649
326	5243	1598371
327	5259	1598168
328	5274	1598011
329	5289	1597709
330	5305	1597473
331	5320	1597198
332	5335	1597065
333	5351	1596843
334	5367	1596750
335	5382	1596644
336	5398	1596549
337	5414	1596381
338	5429	1596071
339	5445	1596080
340	5460	1595730
341	5475	1595573
342	5490	1595303
343	5505	1595046
344	5521	1594877
345	5537	1594767
346	5552	1594492
347	5567	1594285
348	5583	1594288
349	5599	1594123
350	5614	1593955
351	5630	1593808
352	5646	1594057
353	5662	1594015
354	5679	1594241
355	5695	1594274
356	5712	1594428
357	5728	1594323
358	5744	1594398
359	5760	1594441
360	5777	1594585
361	5793	1594682
362	5809	1594614
363	5825	1594584
364	5841	1594448
365	5856	1594413
366	5873	1594532
367	5889	1594510
368	5905	1594623
369	5922	1594688
370	5938	1594665
371	5958	1595662
372	5973	1595632
373	5989	1595602
374	6007	1595954
375	6023	1596040
376	6039	1596018
377	6057	1596389
378	6074	1596818
379	6092	1597141
380	6108	1597226
381	6124	1597257
382	6141	1597261
383	6156	1597152
384	6172	1597181
385	6189	1597180
386	6205	1597185
387	6221	1597343
388	6237	1597159
389	6253	1597193
390	6269	1597220
391	6285	1597122
392	6301	1597099
393	6317	1597052
394	6341	1599184
395	6360	1599872
396	6379	1600551
397	6397	1601074
398	6413	1601024
399	6430	1601139
400	6446	1601215
401	6463	1601274
402	6480	1601586
403	6496	1601557
404	6512	1601504
405	6529	1601613
406	6545	1601609
407	6560	1601447
408	6576	1601478
409	6593	1601456
410	6608	1601383
411	6625	1601430
412	6642	1601629
413	6658	1601760
414	6675	1601803
415	6692	1602041
416	6709	1602174
417	6725	1602161
418	6741	1602165
419	6757	1602228
420	6776	1602796
421	6793	1602949
422	6809	1603073
423	6827	1603324
424	6845	1603760
425	6861	1603911
426	6878	1604078
427	6896	1604349
428	6914	1604901
429	6931	1605097
430	6949	1605511
431	6965	1605394
432	6981	1605439
433	6998	1605510
434	7014	1605419
435	7030	1605396
436	7049	1606075
437	7067	1606470
438	7084	1606641
439	7100	1606675
440	7116	1606673
441	7133	1606678
442	7148	1606511
443	7164	1606427
444	7179	1606251
445	7195	1606165
446	7212	1606265
447	7228	1606274
448	7244	1606125
449	7261	1606333
450	7276	1606192
451	7292	1606132
452	7308	1605971
453	7323	1605826
454	7339	1605822
455	7355	1605747
456	7371	1605757
457	7388	1605801
458	7403	1605638
459	7419	1605583
460	7436	1605701
461	7452	1605588
462	7467	1605444
463	7483	1605373
464	7499	1605387
465	7515	1605234
466	7531	1605129
467	7547	1605116
468	7562	1604882
469	7578	1604967
470	7595	1605028
471	7611	1604912
472	7627	1604859
473	7642	1604644
474	7657	1604522
475	7673	1604302
476	7689	1604333
477	7705	1604332
478	7721	1604278
479	7736	1604131
480	7753	1604141
481	7768	1603862
482	7783	1603736
483	7799	1603564
484	7815	1603531
485	7830	1603290
486	7845	1603138
487	7861	1603018
488	7877	1603103
489	7896	1603594
490	7916	1604342
491	7939	1605705
492	7957	1606081
493	7973	1606196
494	7991	1606408
495	8007	1606492
496	8024	1606537
497	8042	1606859
498	8060	1607355
499	8078	1607558
500	8094	1607535
501	8115	1608550
502	8131	1608511
503	8148	1608553
504	8163	1608385
505	8178	1608169
506	8193	1607978
507	8209	1607929
508	8225	1607757
509	8240	1607613
510	8256	1607482
511	8271	1607341
512	8288	1607310
513	8303	1607111
514	8318	1606947
515	8334	1606808
516	8349	1606696
517	8365	1606505
518	8381	1606478
519	8396	1606403
520	8412	1606299
521	8428	1606145
522	8443	1605985
523	8459	1605937
524	8474	1605696
525	8490	1605654
526	8505	1605473
527	8521	1605441
528	8537	1605372
529	8552	1605165
530	8568	1605055
531	8583	1604927
532	8599	1604729
533	8614	1604616
534	8629	1604398
535	8644	1604151
536	8660	1604127
537	8676	1603992
538	8691	1603809
539	8706	1603677
540	8722	1603483
541	8737	1603332
542	8753	1603231
543	8768	1603164
544	8784	1602970
545	8799	1602810
546	8815	1602744
547	8830	1602573
548	8845	1602339
549	8862	1602453
550	8877	1602266
551	8894	1602413
552	8910	1602463
553	8927	1602506
554	8942	1602405
555	8958	1602327
556	8974	1602228
557	8989	1602016
558	9005	1601920
559	9019	1601691
560	9038	1602155
561	9056	1602363
562	9073	1602523
563	9089	1602522
564	9107	1602869
565	9126	1603323
566	9142	1603253
567	9157	1603122
568	9172	1602943
569	9187	1602708
570	9202	1602458
571	9216	1602123
572	9231	1601809
573	9246	1601603
574	9261	1601348
575	9275	1601029
576	9289	1600744
577	9304	1600463
578	9319	1600214
579	9333	1599936
580	9348	1599673
581	9362	1599356
582	9377	1599038
583	9391	1598745
584	9406	1598505
585	9420	1598209
586	9436	1598151
587	9453	1598292
588	9470	1598392
589	9487	1598481
590	9505	1598882
591	9520	1598703
592	9535	1598471
593	9550	1598258
594	9564	1597982
595	9579	1597708
596	9594	1597490
597	9609	1597267
598	9624	1597055
599	9638	1596787
600	9653	1596563
601	9667	1596230
602	9682	1596027
603	9697	1595776
604	9711	1595563
605	9726	1595329
606	9741	1595052
607	9755	1594820
608	9770	1594626
609	9785	1594397
610	9800	1594166
611	9814	1593910
612	9829	1593656
613	9843	1593360
614	9858	1593128
